amount,method,hour_of_day,day_of_week,customer_prior_fail_rate,customer_txn_count_so_far,actual_at_risk,risk_score,flagged_at_risk
22268.63,card,19,2,0.5,4,1,0.40740280999470635,0
9236.71,upi,0,2,0.25,8,0,0.2921668046965025,0
10270.24,upi,10,2,0.4,5,0,0.278721078522835,0
4394.2,card,13,0,0.14285714285714285,7,0,0.34939544772236464,0
19333.12,card,19,2,0.16666666666666666,6,0,0.39534320152176944,0
814.04,wallet,7,5,1.0,1,1,0.47276978618160037,0
735.68,wallet,11,3,1.0,1,0,0.47874848357614835,0
18637.43,card,21,3,0.5,8,1,0.5069486293407204,1
4154.31,wallet,14,2,0.3333333333333333,3,0,0.4338473628997887,0
13928.61,upi,14,2,0.6666666666666666,3,0,0.27057819404288863,0
9885.98,upi,21,1,0.2222222222222222,9,0,0.2619305129427647,0
37500.3,netbanking,22,2,0.09090909090909091,11,1,0.5611442631329928,1
15976.12,netbanking,9,4,0.3333333333333333,9,0,0.568414843179683,1
17014.15,card,23,5,0.0,0,1,0.5757882790342426,1
2378.85,emandate,2,3,0.5,2,1,0.6066434738385295,1
2939.27,upi,8,1,0.6666666666666666,6,0,0.32763168307784063,0
12769.22,upi,7,3,0.0,0,1,0.3015301530312018,0
18492.88,card,7,2,0.0,2,1,0.43387975163178755,0
12388.69,upi,0,5,0.0,1,0,0.43245017622775095,0
10341.04,card,11,4,0.5,6,0,0.4817474052231632,0
2975.26,card,2,0,0.0,5,1,0.4289590082584698,0
546.91,card,6,0,0.0,0,0,0.43496107654363103,0
5645.75,emandate,8,0,0.5,2,1,0.6311580997823315,1
14287.7,card,23,5,0.2,5,1,0.5211676393609902,1
4450.33,emandate,0,2,0.5,2,0,0.5571965419973757,1
2298.52,emandate,0,5,0.25,4,1,0.5754125167859634,1
3062.87,card,15,3,0.75,4,0,0.48453446248858,0
48360.37,netbanking,21,1,0.4,5,0,0.6418774863887149,1
10264.95,netbanking,5,3,0.0,1,1,0.46306598788441905,0
15863.06,card,4,3,0.0,0,0,0.5220506619829253,1
1252.08,wallet,11,2,0.25,4,1,0.46484546230971213,0
392.16,card,13,3,0.0,0,0,0.4893807157211169,0
496.09,wallet,7,6,1.0,1,1,0.46922010474967607,0
25440.02,netbanking,14,2,0.0,1,1,0.530939691928323,1
8099.32,card,0,3,0.5,6,0,0.5045365882250962,1
22943.81,netbanking,17,0,0.4,5,1,0.4816054397083128,0
22891.12,netbanking,14,6,0.5,2,0,0.6081172601623184,1
3123.2,wallet,4,5,0.0,6,0,0.44958943345656355,0
1411.34,emandate,9,1,0.5555555555555556,9,0,0.5987248391735319,1
809.2,emandate,1,5,0.3333333333333333,3,1,0.6396495930080742,1
2811.34,card,14,4,0.3333333333333333,3,0,0.5310076480710085,1
6700.27,upi,22,6,0.0,1,0,0.3661149924651092,0
8991.64,emandate,9,2,0.0,2,1,0.6337394210091911,1
7553.67,emandate,18,4,0.0,1,1,0.7151306090920666,1
12278.06,card,21,3,0.0,0,0,0.5329360464171012,1
2998.3,card,7,6,0.42857142857142855,7,0,0.46698107415214973,0
23808.64,card,6,4,0.3333333333333333,3,0,0.5214394946528463,1
44225.44,netbanking,21,3,0.3333333333333333,9,1,0.6116055360700471,1
6978.51,emandate,14,3,1.0,3,1,0.6553018070026972,1
4674.69,card,11,1,0.5,2,1,0.4251805175400929,0
36248.43,netbanking,2,0,0.6666666666666666,3,0,0.5470113907646552,1
1649.2,wallet,2,3,0.1,10,1,0.5050201328121905,1
7042.7,card,21,2,0.0,2,0,0.4157302017199218,0
9287.64,card,17,4,0.5,4,1,0.5140779269606451,1
8369.7,emandate,18,3,0.25,4,1,0.6764996006179583,1
24510.68,card,12,2,0.2,5,0,0.5092997707874912,1
9679.36,emandate,3,4,0.3333333333333333,3,1,0.727190126877681,1
3068.88,wallet,19,4,0.0,1,0,0.5371229497641922,1
6049.63,card,1,4,0.0,1,0,0.49074390022890013,0
1638.45,wallet,4,6,0.25,8,0,0.4686157491624936,0
11446.28,upi,3,6,0.3333333333333333,3,0,0.44597600775910223,0
26691.16,netbanking,14,5,1.0,1,1,0.6866184738453396,1
26777.19,netbanking,5,5,0.5,6,1,0.7498849044565783,1
23132.62,netbanking,22,0,0.3333333333333333,6,1,0.5403349914798622,1
3093.8,upi,23,0,1.0,1,0,0.49682733109044686,0
3183.79,wallet,18,3,0.625,8,0,0.49005179788531117,0
1176.17,emandate,6,3,0.0,0,1,0.6795733529829749,1
4980.81,wallet,3,6,0.5,4,0,0.5359126516961585,1
10835.32,card,8,6,0.4,10,0,0.4705428411533792,0
9297.08,card,18,5,0.2,5,0,0.5061694819622901,1
1462.73,emandate,8,0,0.5,4,1,0.6554801147751689,1
21777.73,card,5,5,0.2222222222222222,9,0,0.4697973339613475,0
2792.61,wallet,14,1,0.3333333333333333,3,0,0.43320318226773885,0
1944.43,wallet,0,0,1.0,1,0,0.4806236370119123,0
20268.35,card,23,2,0.0,0,0,0.43347358835757044,0
17915.28,card,6,5,0.25,4,0,0.5281116086160763,1
9582.66,netbanking,23,2,0.5,4,1,0.5368241954524653,1
532.04,wallet,10,4,0.3333333333333333,6,0,0.4757252039519748,0
23117.02,netbanking,13,2,0.2857142857142857,7,0,0.4569327923708863,0
33671.61,netbanking,15,3,0.4,10,1,0.6094081295145947,1
21366.27,card,14,4,1.0,1,0,0.5664174366147039,1
4745.54,upi,2,0,0.0,4,0,0.35770771459410067,0
