payment_id,action_taken,execution_status,recovered_amount,notes,execution_timestamp
pay_198cc292508e4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:11.925469+00:00
pay_3f54f4ed4b644d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:11.930219+00:00
pay_448b26a786f24f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:11.933750+00:00
pay_2bb17e43ca4541,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:11.936201+00:00
pay_4744ac83dae044,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:11.938246+00:00
pay_86f8a929396a4a,retry_now,sent,0,payment_link_id=plink_TSRTqmRfYYD4ZZ,2026-08-21T13:50:13.882280+00:00
pay_fad24497accc4f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:13.886397+00:00
pay_f5863af444e14d,retry_now,sent,0,payment_link_id=plink_TSRTsPujpZwZqz,2026-08-21T13:50:14.522044+00:00
pay_8daa230f1bc04f,retry_now,sent,0,payment_link_id=plink_TSRTsywJjiLWPo,2026-08-21T13:50:15.042181+00:00
pay_b0414e54d29d48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:15.046449+00:00
pay_df58c3ef7d5d45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:15.050336+00:00
pay_ee4d851071674e,retry_now,sent,0,payment_link_id=plink_TSRTtfrNnKgnnS,2026-08-21T13:50:15.873134+00:00
pay_894811081a0645,send_reminder,skipped,0,'send_reminder' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:15.879064+00:00
pay_b8583eec85e043,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:15.882759+00:00
pay_8762b97dbbb34c,retry_now,sent,0,payment_link_id=plink_TSRTuTAN1AvKdH,2026-08-21T13:50:16.444536+00:00
pay_541fb5b6b7e341,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.448986+00:00
pay_03b9eede25884d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.452608+00:00
pay_a5da5901405d4b,retry_now,failed,0,Too many requests,2026-08-21T13:50:16.522654+00:00
pay_7583fb49df2e43,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.526798+00:00
pay_c435a704261a49,retry_now,failed,0,Too many requests,2026-08-21T13:50:16.601343+00:00
pay_ec6ba30d08db4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.605191+00:00
pay_19943116b8314c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.610845+00:00
