payment_id,order_id,amount,currency,method,error_code,error_reason,error_description,customer_id,timestamp,status,event_type,root_cause_bucket
pay_198cc292508e4c,order_be4f62e325e241,25440.02,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0006,2026-07-22 14:14:37,failed,payment,retryable_transient
pay_3f54f4ed4b644d,order_ab9520b9213e49,1929.04,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0103,2026-07-22 21:30:30,failed,payment,retryable_transient
pay_448b26a786f24f,order_fcf8f9e48cbc44,2599.23,INR,upi,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0096,2026-07-22 23:24:02,failed,payment,retryable_transient
pay_2bb17e43ca4541,order_07a331be9aeb47,12973.79,INR,netbanking,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0112,2026-07-23 04:41:52,failed,payment,retryable_transient
pay_4744ac83dae044,order_de10032667564d,10264.95,INR,netbanking,BAD_REQUEST_ERROR,insufficient_funds,Payment failed due to insufficient funds in the customer's account.,cust_0020,2026-07-23 05:02:58,failed,payment,retryable_with_delay
pay_86f8a929396a4a,order_433a8f8c1f7d45,12769.22,INR,upi,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0104,2026-07-23 07:21:54,failed,payment,retryable_transient
pay_fad24497accc4f,order_5643a36d960b49,24219.41,INR,card,BAD_REQUEST_ERROR,payment_cancelled,The customer cancelled the payment/checkout before completion.,cust_0040,2026-07-23 07:22:00,failed,payment,abandoned_checkout
pay_f5863af444e14d,order_844b93e861e34b,9773.96,INR,card,BAD_REQUEST_ERROR,otp_timeout,The OTP was not entered within the allowed time.,cust_0066,2026-07-23 08:34:11,failed,payment,retryable_transient
pay_8daa230f1bc04f,order_29f0db64f01f43,573.92,INR,emandate,GATEWAY_ERROR,issuer_unavailable,The card issuing bank's servers were unavailable.,cust_0056,2026-07-23 11:50:21,failed,subscription,retryable_transient
pay_b0414e54d29d48,order_8cadf7a7648c4c,2350.59,INR,wallet,BAD_REQUEST_ERROR,fraud_suspected,Payment flagged and blocked due to suspected fraudulent activity.,cust_0035,2026-07-23 16:36:44,failed,payment,escalate_human
pay_df58c3ef7d5d45,order_7ee28885f83d4d,7583.64,INR,upi,BAD_REQUEST_ERROR,payment_cancelled,The customer cancelled the payment/checkout before completion.,cust_0043,2026-07-23 19:17:06,failed,payment,abandoned_checkout
pay_ee4d851071674e,order_ac14d18585e445,15218.98,INR,netbanking,BAD_REQUEST_ERROR,otp_timeout,The OTP was not entered within the allowed time.,cust_0055,2026-07-23 21:12:49,failed,payment,retryable_transient
pay_894811081a0645,order_fdcc0c24d01a4a,8650.05,INR,card,BAD_REQUEST_ERROR,card_declined,The card was declined by the issuing bank.,cust_0071,2026-07-23 21:27:57,failed,payment,non_retryable
pay_b8583eec85e043,order_9d241e1b9b9a48,3643.68,INR,wallet,BAD_REQUEST_ERROR,fraud_suspected,Payment flagged and blocked due to suspected fraudulent activity.,cust_0075,2026-07-23 23:03:47,failed,payment,escalate_human
pay_8762b97dbbb34c,order_25358b85506746,28040.35,INR,netbanking,GATEWAY_ERROR,bank_technical_error,A technical error occurred at the bank's end.,cust_0072,2026-07-23 23:36:50,failed,payment,retryable_transient
pay_541fb5b6b7e341,order_3a57c3dc73524b,1979.38,INR,upi,GATEWAY_ERROR,network_timeout,The request timed out due to network issues at the gateway.,cust_0071,2026-07-24 00:53:45,failed,payment,retryable_transient
pay_03b9eede25884d,order_f2965eb4507347,5076.14,INR,emandate,BAD_REQUEST_ERROR,mandate_not_approved,The e-mandate registration was not approved in time by the customer.,cust_0019,2026-07-24 03:28:04,failed,subscription,retryable_with_delay
pay_a5da5901405d4b,order_410506b6244a49,21593.98,INR,card,BAD_REQUEST_ERROR,insufficient_funds,Payment failed due to insufficient funds in the customer's account.,cust_0055,2026-07-24 12:05:14,failed,payment,retryable_with_delay
pay_7583fb49df2e43,order_4ce9b596e6a542,21461.14,INR,card,BAD_REQUEST_ERROR,payment_cancelled,The customer cancelled the payment/checkout before completion.,cust_0049,2026-07-24 12:10:02,failed,payment,abandoned_checkout
pay_c435a704261a49,order_7d18f24f725841,11548.23,INR,card,BAD_REQUEST_ERROR,payment_cancelled,The customer cancelled the payment/checkout before completion.,cust_0025,2026-07-24 12:11:24,failed,payment,abandoned_checkout
pay_ec6ba30d08db4d,order_9d77d763728a45,5953.66,INR,card,BAD_REQUEST_ERROR,card_declined,The card was declined by the issuing bank.,cust_0076,2026-07-24 12:44:23,failed,payment,non_retryable
pay_19943116b8314c,order_3eb832104a0049,11407.87,INR,card,BAD_REQUEST_ERROR,otp_timeout,The OTP was not entered within the allowed time.,cust_0084,2026-07-24 16:52:01,failed,payment,retryable_transient
pay_99ef3457f10941,order_ddbbb502bd2446,7553.67,INR,emandate,BAD_REQUEST_ERROR,mandate_not_approved,The e-mandate registration was not approved in time by the customer.,cust_0079,2026-07-24 18:58:20,failed,subscription,retryable_with_delay
pay_bc0789d5882c4c,order_dd0c2eff0a5b42,6115.66,INR,upi,BAD_REQUEST_ERROR,insufficient_funds,Payment failed due to insufficient funds in the customer's account.,cust_0032,2026-07-24 19:10:31,failed,payment,retryable_with_delay
