payment_id,order_id,amount,currency,method,error_code,error_reason,error_description,customer_id,timestamp,status,event_type,root_cause_bucket
pay_9f6f34e6e7a744,order_4e413d3da93b46,7746.54,INR,card,,,,cust_0020,2026-07-22 12:17:50,captured,payment,
pay_dd6ea2c2436b4f,order_3c953e6981ce4a,5090.4,INR,upi,,,,cust_0006,2026-07-22 12:42:34,captured,payment,
pay_16e5a4ddb3074e,order_85bbf3ffce684a,10162.3,INR,upi,,,,cust_0079,2026-07-22 13:30:14,captured,payment,
pay_b66505fce5904a,order_52d1bbd6413141,3988.46,INR,card,,,,cust_0081,2026-07-22 13:47:20,captured,payment,
pay_e9f93693bfe644,order_cfe5270e92d746,13997.04,INR,upi,,,,cust_0046,2026-07-22 16:10:37,captured,payment,
pay_4ef1776cea124e,order_b49cd4dc71ba4b,9871.94,INR,upi,,,,cust_0106,2026-07-22 19:00:25,captured,payment,
pay_193eb129473c42,order_1deeacdb50864e,3682.55,INR,emandate,,,,cust_0015,2026-07-22 19:46:07,captured,subscription,
pay_93e90a4e445b4a,order_d68abdcf8bb340,12221.02,INR,card,,,,cust_0108,2026-07-22 20:32:05,captured,payment,
pay_5e55bc2c3bfc41,order_8124d11d6f9240,6990.21,INR,card,,,,cust_0094,2026-07-22 22:06:07,captured,payment,
pay_cd5a30b4559341,order_8af412daa7924b,23059.27,INR,card,,,,cust_0099,2026-07-22 22:22:17,captured,payment,
pay_fa5a64fdf19340,order_9517ac17202a42,2458.39,INR,card,,,,cust_0094,2026-07-22 22:31:22,captured,payment,
pay_dfe4ee070f5149,order_b33c479379964d,11776.71,INR,upi,,,,cust_0015,2026-07-22 23:56:47,captured,payment,
pay_a2494d1aded041,order_216116e33a8a4a,1851.5,INR,card,,,,cust_0044,2026-07-23 01:56:51,captured,payment,
pay_0af282101ac04c,order_955f6b06eb1245,14973.58,INR,card,,,,cust_0083,2026-07-23 02:15:32,captured,payment,
pay_33b4bfadcec34b,order_7dbde6065f8345,15863.06,INR,card,,,,cust_0014,2026-07-23 04:50:49,captured,payment,
pay_22e3871eba4b45,order_b0d67c05f21246,6364.63,INR,upi,,,,cust_0068,2026-07-23 05:14:24,captured,payment,
pay_ad570a0cc7704e,order_479239307f584a,9798.76,INR,upi,,,,cust_0043,2026-07-23 08:36:15,captured,payment,
pay_fc1d0e0edf9c44,order_425deb4bf31f46,14566.83,INR,upi,,,,cust_0032,2026-07-23 09:54:51,captured,payment,
pay_d385fb69516e48,order_cb53227206fc4e,817.65,INR,wallet,,,,cust_0050,2026-07-23 12:29:58,captured,payment,
pay_d68af9fc2ede44,order_41a4ab863f654d,2290.22,INR,upi,,,,cust_0113,2026-07-23 12:47:31,captured,payment,
